id,result_excel
A_515_729,1
A_555_559,0
A_576_666,1
A_577_581,0
A_551_604,0
A_539_629,0
A_640_756,1
A_660_679,1
A_663_809,1
A_675_825,1
A_736_810,1
A_738_833,1
A_530_783,0
A_681_786,0
A_541_821,0
A_831_844,1
A_511_826,1
A_527_625,1
A_549_815,1
A_603_685,1
A_519_606,0
A_599_628,0
A_636_747,1
A_651_802,1
A_637_701,0
A_703_708,0
A_662_758,0
A_721_789,0
A_670_793,0
A_690_796,0
A_732_829,0
A_812_839,0
A_515_660,1
A_559_581,1
A_604_738,1
A_640_831,1
A_663_783,1
A_675_736,1
A_576_786,0
A_629_821,0
A_511_628,1
A_549_789,1
A_603_701,1
A_527_606,0
A_636_758,1
A_651_829,1
A_708_796,0
A_793_839,0
A_603_796,1
A_640_821,1
A_515_663,0
A_651_839,0
A_549_606,1
A_511_636,0
A_559_675,0
A_604_786,0
A_640_839,1
A_603_663,0
A_549_675,0
A_636_786,0
A_640_663,1
A_675_786,0
A_640_786,1
B_511_768,1
B_527_826,1
B_539_736,1
B_535_549,0
B_554_662,1
B_556_625,1
B_628_830,1
B_624_629,0
B_632_636,0
B_640_680,1
B_589_708,0
B_738_741,1
B_727_779,0
B_545_810,0
B_648_829,0
B_827_853,0
B_546_603,1
B_547_604,1
B_551_669,1
B_560_769,1
B_577_687,1
B_623_818,1
B_651_663,1
B_673_795,1
B_701_723,1
B_660_737,0
B_721_783,0
B_674_789,0
B_793_849,1
B_528_802,0
B_692_821,0
B_781_839,0
B_511_554,1
B_539_829,1
B_549_629,0
B_636_738,1
B_628_640,0
B_556_708,0
B_527_779,0
B_810_853,1
B_547_623,1
B_551_802,1
B_651_701,1
B_673_789,1
B_577_737,0
B_783_839,1
B_560_793,0
B_546_821,0
B_640_779,1
B_551_673,0
B_629_810,0
B_783_821,0
B_511_636,1
B_651_793,1
B_539_708,0
B_547_737,0
B_640_821,1
B_673_810,1
B_511_737,1
B_651_708,0
B_511_708,1
B_640_673,1
B_511_640,1
C_511_705,1
C_515_698,1
C_546_622,1
C_549_713,1
C_559_588,1
C_623_768,1
C_624_790,1
C_625_721,1
C_662_822,1
C_581_671,0
C_692_708,0
C_736_817,1
C_743_769,1
C_755_821,0
C_840_853,1
C_789_843,0
C_574_778,1
C_577_740,1
C_595_788,1
C_636_734,1
C_640_747,1
C_568_670,0
C_535_701,0
C_599_722,0
C_570_738,0
C_687_741,0
C_663_780,0
C_554_783,0
C_627_786,0
C_668_810,0
C_674_826,0
C_551_836,0
C_511_624,1
C_559_625,1
C_623_662,0
C_671_736,1
C_546_708,0
C_515_821,0
C_743_840,0
C_549_843,0
C_577_722,1
C_640_780,1
C_574_738,0
C_636_741,0
C_783_836,1
C_701_786,0
C_670_810,0
C_595_826,0
C_511_662,1
C_559_840,1
C_671_708,0
C_821_843,1
C_577_786,1
C_640_810,1
C_741_826,1
C_738_783,0
C_559_708,0
C_511_821,0
C_577_640,0
C_741_783,0
C_640_783,1
C_708_821,0
C_640_821,1
D_515_766,1
D_518_848,1
D_559_820,1
D_562_651,1
D_574_810,1
D_592_728,1
D_607_673,1
D_599_625,0
D_628_805,1
D_662_826,1
D_676_701,0
D_687_720,0
D_722_786,1
D_752_778,0
D_508_783,0
D_708_842,0
D_546_741,1
D_549_602,1
D_577_593,1
D_587_636,0
D_640_702,1
D_642_668,0
D_669_840,1
D_671_686,1
D_674_829,1
D_678_849,1
D_511_721,0
D_738_793,1
D_639_789,0
D_570_790,0
D_554_802,0
D_516_821,0
D_518_722,1
D_559_701,1
D_592_842,1
D_607_783,1
D_515_628,0
D_562_662,0
D_574_720,0
D_625_778,0
D_577_802,1
D_636_640,0
D_669_821,1
D_671_674,1
D_678_790,1
D_546_721,0
D_668_738,0
D_549_789,0
D_559_628,1
D_592_607,0
D_518_720,0
D_662_778,0
D_577_678,1
D_640_669,1
D_671_721,1
D_738_789,0
D_559_607,1
D_720_778,1
D_577_789,1
D_640_671,0
D_559_720,1
D_577_671,1
D_559_577,1
E_511_632,1
E_518_562,1
E_607_651,1
E_544_629,0
E_640_775,1
E_655_762,1
E_627_662,0
E_671_826,1
E_721_848,1
E_569_738,0
E_713_778,0
E_752_786,0
E_626_793,0
E_520_810,0
E_780_821,0
E_597_849,0
E_549_816,1
E_559_822,1
E_577_643,1
E_535_592,0
E_623_728,1
E_573_636,0
E_515_668,0
E_676_708,0
E_510_720,0
E_615_722,0
E_625_730,0
E_725_764,0
E_747_783,0
E_642_789,0
E_790_811,1
E_802_817,1
E_607_778,1
E_518_629,0
E_655_793,1
E_671_821,1
E_721_738,0
E_640_786,0
E_662_810,0
E_511_849,0
E_577_636,1
E_592_623,1
E_668_720,1
E_708_783,1
E_722_730,1
E_764_789,1
E_559_790,0
E_549_802,0
E_629_810,1
E_671_786,1
E_607_738,0
E_655_849,0
E_577_592,0
E_708_790,1
E_722_764,1
E_668_802,0
E_629_671,0
E_738_849,0
E_592_722,1
E_708_802,1
E_592_708,1
E_671_849,1
E_592_671,0
F_716_848,1
F_527_774,1
F_536_549,0
F_577_679,1
F_515_603,0
F_605_849,1
F_610_629,1
F_562_628,0
F_625_639,0
F_616_640,0
F_602_662,0
F_604_676,0
F_606_779,0
F_783_815,1
F_615_810,0
F_722_818,0
F_720_822,0
F_511_579,1
F_535_839,1
F_546_790,1
F_592_835,1
F_539_597,0
F_607_830,1
F_623_716,1
F_626_721,1
F_565_636,0
F_506_671,0
F_627_674,0
F_708_736,1
F_717_853,1
F_729_737,1
F_613_786,0
F_789_793,1
F_549_639,1
F_577_676,1
F_603_610,1
F_628_640,0
F_605_662,0
F_779_783,0
F_810_822,1
F_527_818,0
F_511_535,1
F_607_626,1
F_546_623,0
F_636_786,1
F_597_671,0
F_674_717,1
F_708_729,0
F_592_789,0
F_577_810,1
F_603_662,0
F_549_783,0
F_640_818,0
F_511_674,1
F_623_636,1
F_607_671,0
F_729_789,0
F_577_818,1
F_662_783,1
F_511_623,1
F_671_789,1
F_511_671,1
F_577_662,1
F_511_577,0
G_508_766,0
G_504_590,1
G_511_757,1
G_577_848,1
G_625_821,1
G_616_636,0
G_639_722,1
G_640_826,1
G_668_676,0
G_546_717,0
G_568_720,0
G_680_725,0
G_783_835,1
G_660_802,0
G_816_818,1
G_730_839,0
G_607_852,0
G_539_728,1
G_528_549,0
G_559_610,1
G_562_592,1
G_604_687,1
G_623_754,1
G_662_766,1
G_664_675,0
G_671_695,0
G_622_721,0
G_544_731,0
G_749_796,1
G_527_793,0
G_674_810,0
G_778_849,0
G_613_853,0
G_511_852,1
G_577_717,1
G_625_816,1
G_636_783,1
G_504_639,0
G_640_802,1
G_676_720,1
G_725_839,1
G_559_695,1
G_562_623,0
G_662_849,1
G_721_853,1
G_539_731,0
G_604_749,0
G_675_793,0
G_549_810,0
G_577_625,0
G_639_731,1
G_676_810,1
G_511_721,0
G_559_749,1
G_623_636,0
G_640_662,0
G_725_793,1
G_625_639,1
G_676_721,0
G_636_725,1
G_559_662,0
G_625_721,1
G_636_662,0
G_625_662,0
H_804_814,0
H_511_828,1
H_512_666,1
H_537_562,1
H_539_695,1
H_536_559,0
H_557_577,0
H_549_607,0
H_623_835,1
H_636_822,1
H_616_660,0
H_676_749,1
H_717_845,1
H_721_747,1
H_753_783,0
H_569_802,0
H_842_849,0
H_518_779,1
H_535_675,1
H_592_751,1
H_504_625,0
H_631_640,0
H_519_651,0
H_662_816,1
H_556_671,0
H_722_728,1
H_731_838,1
H_655_738,0
H_658_786,0
H_793_814,1
H_725_821,0
H_586_839,0
H_800_853,0
H_511_607,1
H_559_783,1
H_537_577,0
H_512_636,0
H_660_676,1
H_623_717,0
H_539_721,0
H_802_849,0
H_518_839,1
H_535_651,1
H_640_821,1
H_662_853,1
H_592_671,0
H_625_731,0
H_722_786,0
H_738_793,0
H_511_717,1
H_577_636,0
H_640_849,1
H_660_731,1
H_662_671,0
H_535_721,0
H_518_786,0
H_559_793,0
H_511_636,0
H_640_660,0
H_721_786,0
H_671_793,0
H_636_660,1
H_786_793,1
H_636_786,0
I_593_644,1
I_504_749,1
I_559_828,1
I_569_573,0
I_506_577,0
I_607_826,1
I_592_658,0
I_662_824,1
I_671_699,0
I_502_708,0
I_511_764,0
I_645_779,0
I_783_820,1
I_536_786,0
I_736_793,0
I_546_796,0
I_825_839,0
I_527_821,1
I_549_586,1
I_606_714,1
I_623_687,1
I_622_636,0
I_593_640,0
I_666_769,1
I_675_679,1
I_695_811,1
I_582_722,0
I_727_737,1
I_731_809,1
I_805_840,1
I_827_836,1
I_743_849,0
I_651_853,0
I_504_783,1
I_559_573,1
I_577_764,1
I_607_699,0
I_779_796,1
I_662_786,0
I_708_793,0
I_658_839,0
I_527_606,0
I_549_623,0
I_636_727,1
I_666_722,0
I_731_849,1
I_640_805,0
