,id,result_excel,season,team1,team2,team1_wins,team1_losses,team1_PF_in_wins,team1_PA_in_wins,team1_PF_in_losses,team1_PA_in_losses,team2_wins,team2_losses,team2_PF_in_wins,team2_PA_in_wins,team2_PF_in_losses,team2_PA_in_losses,team1_GP,team1_PF,team1_PA,team1_pt_diff,team2_GP,team2_PF,team2_PA,team2_pt_diff,team1_region,team2_region,team1_seed,team2_seed,result,daynum
0,A_515_729,1,A,515,729,18.0,12.0,1495.0,1216.0,851.0,1011.0,21.0,6.0,1676.0,1323.0,339.0,385.0,30.0,2346.0,2227.0,3.966666666666667,27.0,2015.0,1708.0,11.37037037037037,W,W,12,5,1,136
1,A_555_559,0,A,555,559,15.0,14.0,1184.0,1009.0,921.0,1118.0,30.0,2.0,2512.0,1887.0,160.0,178.0,29.0,2105.0,2127.0,-0.7586206896551724,32.0,2672.0,2065.0,18.96875,Y,Y,16,1,0,136
2,A_576_666,1,A,576,666,25.0,3.0,2118.0,1628.0,227.0,237.0,22.0,7.0,1717.0,1407.0,425.0,490.0,28.0,2345.0,1865.0,17.142857142857142,29.0,2142.0,1897.0,8.448275862068966,Z,Z,12,5,1,136
3,A_577_581,0,A,577,581,18.0,12.0,1465.0,1204.0,811.0,884.0,22.0,5.0,1887.0,1618.0,357.0,400.0,30.0,2276.0,2088.0,6.266666666666667,27.0,2244.0,2018.0,8.37037037037037,Y,Y,8,9,0,136
4,A_551_604,0,A,551,604,18.0,10.0,1327.0,1034.0,570.0,711.0,19.0,9.0,1570.0,1162.0,648.0,722.0,28.0,1897.0,1745.0,5.428571428571429,28.0,2218.0,1884.0,11.928571428571429,Z,Z,9,8,0,136
5,A_539_629,0,A,539,629,17.0,10.0,1391.0,1148.0,662.0,742.0,22.0,8.0,1532.0,1328.0,474.0,565.0,27.0,2053.0,1890.0,6.037037037037037,30.0,2006.0,1893.0,3.7666666666666666,X,X,12,5,0,136
6,A_640_756,1,A,640,756,28.0,2.0,2602.0,1915.0,155.0,176.0,13.0,16.0,1022.0,924.0,1067.0,1258.0,30.0,2757.0,2091.0,22.2,29.0,2089.0,2182.0,-3.206896551724138,X,X,1,16,1,136
7,A_660_679,1,A,660,679,22.0,7.0,1669.0,1333.0,466.0,522.0,20.0,9.0,1462.0,1228.0,559.0,659.0,29.0,2135.0,1855.0,9.655172413793103,29.0,2021.0,1887.0,4.620689655172414,W,W,4,13,1,136
8,A_663_809,1,A,663,809,31.0,1.0,2282.0,1871.0,76.0,86.0,10.0,18.0,820.0,695.0,1252.0,1534.0,32.0,2358.0,1957.0,12.53125,28.0,2072.0,2229.0,-5.607142857142857,W,W,1,16,1,136
9,A_675_825,1,A,675,825,22.0,7.0,1717.0,1446.0,444.0,497.0,24.0,8.0,1823.0,1502.0,564.0,630.0,29.0,2161.0,1943.0,7.517241379310345,32.0,2387.0,2132.0,7.96875,Y,Y,5,12,1,136
10,A_736_810,1,A,736,810,20.0,6.0,1264.0,1006.0,291.0,342.0,23.0,7.0,1861.0,1589.0,497.0,556.0,26.0,1555.0,1348.0,7.961538461538462,30.0,2358.0,2145.0,7.1,Y,Y,13,4,1,136
11,A_738_833,1,A,738,833,25.0,5.0,1874.0,1539.0,322.0,372.0,15.0,11.0,1322.0,1151.0,818.0,1002.0,30.0,2196.0,1911.0,9.5,26.0,2140.0,2153.0,-0.5,Z,Z,1,16,1,136
12,A_530_783,0,A,530,783,22.0,7.0,1635.0,1391.0,443.0,494.0,19.0,8.0,1523.0,1212.0,518.0,585.0,29.0,2078.0,1885.0,6.655172413793103,27.0,2041.0,1797.0,9.037037037037036,W,W,8,9,0,136
13,A_681_786,0,A,681,786,19.0,8.0,1597.0,1212.0,595.0,669.0,24.0,8.0,1913.0,1582.0,540.0,629.0,27.0,2192.0,1881.0,11.518518518518519,32.0,2453.0,2211.0,7.5625,Z,Z,13,4,0,136
14,A_541_821,0,A,541,821,19.0,10.0,1293.0,1106.0,637.0,713.0,23.0,6.0,1824.0,1414.0,392.0,419.0,29.0,1930.0,1819.0,3.8275862068965516,29.0,2216.0,1833.0,13.206896551724139,X,X,13,4,0,136
15,A_831_844,1,A,831,844,22.0,5.0,1626.0,1336.0,289.0,357.0,24.0,3.0,1614.0,1313.0,156.0,194.0,27.0,1915.0,1693.0,8.222222222222221,27.0,1770.0,1507.0,9.74074074074074,X,X,9,8,1,136
16,A_511_826,1,A,511,826,24.0,6.0,1987.0,1666.0,449.0,499.0,19.0,10.0,1564.0,1307.0,737.0,833.0,30.0,2436.0,2165.0,9.033333333333333,29.0,2301.0,2140.0,5.551724137931035,Z,Z,3,14,1,137
17,A_527_625,1,A,527,625,18.0,10.0,1501.0,1189.0,692.0,772.0,18.0,11.0,1457.0,1128.0,757.0,871.0,28.0,2193.0,1961.0,8.285714285714286,29.0,2214.0,1999.0,7.413793103448276,Y,Y,11,6,1,137
18,A_549_815,1,A,549,815,25.0,4.0,2051.0,1587.0,282.0,295.0,20.0,9.0,1529.0,1229.0,539.0,677.0,29.0,2333.0,1882.0,15.551724137931034,29.0,2068.0,1906.0,5.586206896551724,Y,Y,2,15,1,137
19,A_603_685,1,A,603,685,24.0,7.0,2047.0,1549.0,490.0,572.0,18.0,6.0,1589.0,1356.0,470.0,507.0,31.0,2537.0,2121.0,13.419354838709678,24.0,2059.0,1863.0,8.166666666666666,W,W,2,15,1,137
20,A_519_606,0,A,519,606,17.0,10.0,1413.0,1194.0,687.0,789.0,22.0,11.0,1858.0,1606.0,767.0,874.0,27.0,2100.0,1983.0,4.333333333333333,33.0,2625.0,2480.0,4.393939393939394,Y,Y,14,3,0,137
21,A_599_628,0,A,599,628,21.0,7.0,1672.0,1446.0,512.0,580.0,22.0,8.0,1811.0,1357.0,583.0,649.0,28.0,2184.0,2026.0,5.642857142857143,30.0,2394.0,2006.0,12.933333333333334,Z,Z,11,6,0,137
22,A_636_747,1,A,636,747,25.0,4.0,2057.0,1634.0,273.0,292.0,19.0,7.0,1450.0,1144.0,431.0,503.0,29.0,2330.0,1926.0,13.931034482758621,26.0,1881.0,1647.0,9.0,Z,Z,2,15,1,137
23,A_651_802,1,A,651,802,19.0,11.0,1547.0,1269.0,756.0,863.0,22.0,7.0,1734.0,1338.0,478.0,530.0,30.0,2303.0,2132.0,5.7,29.0,2212.0,1868.0,11.862068965517242,X,X,6,11,1,137
24,A_637_701,0,A,637,701,16.0,11.0,1178.0,1037.0,681.0,800.0,26.0,4.0,2100.0,1812.0,255.0,293.0,27.0,1859.0,1837.0,0.8148148148148148,30.0,2355.0,2105.0,8.333333333333334,W,W,10,7,0,137
25,A_703_708,0,A,703,708,21.0,8.0,1564.0,1345.0,552.0,615.0,20.0,10.0,1599.0,1315.0,729.0,804.0,29.0,2116.0,1960.0,5.379310344827586,30.0,2328.0,2119.0,6.966666666666667,W,W,11,6,0,137
26,A_662_758,0,A,662,758,17.0,12.0,1489.0,1218.0,872.0,979.0,19.0,8.0,1424.0,1177.0,488.0,585.0,29.0,2361.0,2197.0,5.655172413793103,27.0,1912.0,1762.0,5.555555555555555,Z,Z,7,10,0,137
27,A_721_789,0,A,721,789,17.0,12.0,1508.0,1198.0,820.0,933.0,19.0,12.0,1224.0,1003.0,631.0,798.0,29.0,2328.0,2131.0,6.793103448275862,31.0,1855.0,1801.0,1.7419354838709677,Y,Y,10,7,0,137
28,A_670_793,0,A,670,793,20.0,11.0,1516.0,1196.0,691.0,800.0,20.0,9.0,1758.0,1447.0,635.0,718.0,31.0,2207.0,1996.0,6.806451612903226,29.0,2393.0,2165.0,7.862068965517241,X,X,7,10,0,137
29,A_690_796,0,A,690,796,19.0,9.0,1511.0,1232.0,549.0,596.0,28.0,1.0,2296.0,1884.0,77.0,93.0,28.0,2060.0,1828.0,8.285714285714286,29.0,2373.0,1977.0,13.655172413793103,W,W,14,3,0,137
30,A_732_829,0,A,732,829,17.0,10.0,1374.0,1148.0,669.0,792.0,25.0,6.0,1931.0,1592.0,405.0,481.0,27.0,2043.0,1940.0,3.814814814814815,31.0,2336.0,2073.0,8.483870967741936,X,X,14,3,0,137
31,A_812_839,0,A,812,839,15.0,13.0,1287.0,1071.0,868.0,1040.0,23.0,5.0,1696.0,1398.0,258.0,311.0,28.0,2155.0,2111.0,1.5714285714285714,28.0,1954.0,1709.0,8.75,X,X,15,2,0,137
32,A_515_660,1,A,515,660,18.0,12.0,1495.0,1216.0,851.0,1011.0,22.0,7.0,1669.0,1333.0,466.0,522.0,30.0,2346.0,2227.0,3.966666666666667,29.0,2135.0,1855.0,9.655172413793103,W,W,12,4,1,138
33,A_559_581,1,A,559,581,30.0,2.0,2512.0,1887.0,160.0,178.0,22.0,5.0,1887.0,1618.0,357.0,400.0,32.0,2672.0,2065.0,18.96875,27.0,2244.0,2018.0,8.37037037037037,Y,Y,1,9,1,138
34,A_604_738,1,A,604,738,19.0,9.0,1570.0,1162.0,648.0,722.0,25.0,5.0,1874.0,1539.0,322.0,372.0,28.0,2218.0,1884.0,11.928571428571429,30.0,2196.0,1911.0,9.5,Z,Z,8,1,1,138
35,A_640_831,1,A,640,831,28.0,2.0,2602.0,1915.0,155.0,176.0,22.0,5.0,1626.0,1336.0,289.0,357.0,30.0,2757.0,2091.0,22.2,27.0,1915.0,1693.0,8.222222222222221,X,X,1,9,1,138
36,A_663_783,1,A,663,783,31.0,1.0,2282.0,1871.0,76.0,86.0,19.0,8.0,1523.0,1212.0,518.0,585.0,32.0,2358.0,1957.0,12.53125,27.0,2041.0,1797.0,9.037037037037036,W,W,1,9,1,138
37,A_675_736,1,A,675,736,22.0,7.0,1717.0,1446.0,444.0,497.0,20.0,6.0,1264.0,1006.0,291.0,342.0,29.0,2161.0,1943.0,7.517241379310345,26.0,1555.0,1348.0,7.961538461538462,Y,Y,5,13,1,138
